STT,Mã kiểm tra,Trạng thái,Số lượng HS tìm thấy,Đánh giá trùng lặp,Tóm tắt đối chiếu,Ký hiệu hồ sơ (HS 1),Mã hệ thống (HS 1),Tiêu đề hồ sơ (HS 1),Năm (HS 1),Thời hạn bảo quản (HS 1),Link chi tiết (HS 1),Nội dung chi tiết tất cả hồ sơ quét được,Ghi chú / Lỗi
92,"H31.05.02.H31.09.2011.372",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2011.372","H31.09.2011.002227","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513)",2011,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2227/index.aspx?am=0,1,2&rf=639253255154910931","[HS 1] Ký hiệu: H31.05.02.H31.09.2011.372 | Mã HT: H31.09.2011.002227 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2011.372 | Mã HT: H31.09.2011.002328 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2011.372 | Mã HT: H31.09.2011.002505 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2011.372 | Mã HT: H31.09.2011.002682 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2011.372 | Mã HT: H31.09.2011.005661 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2011.372 | Mã HT: H31.09.2011.008640 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513)",""
93,"H31.05.02.H31.09.2011.373",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2011.373","H31.09.2011.002228","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685)",2011,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2228/index.aspx?am=0,1,2&rf=639253255162724049","[HS 1] Ký hiệu: H31.05.02.H31.09.2011.373 | Mã HT: H31.09.2011.002228 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2011.373 | Mã HT: H31.09.2011.002329 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2011.373 | Mã HT: H31.09.2011.002506 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2011.373 | Mã HT: H31.09.2011.002683 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2011.373 | Mã HT: H31.09.2011.005662 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2011.373 | Mã HT: H31.09.2011.008641 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685)",""
94,"H31.05.02.H31.09.2011.374",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2011.374","H31.09.2011.002229","Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38)",2011,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2229/index.aspx?am=0,1,2&rf=639253255170536696","[HS 1] Ký hiệu: H31.05.02.H31.09.2011.374 | Mã HT: H31.09.2011.002229 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2011.374 | Mã HT: H31.09.2011.002330 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2011.374 | Mã HT: H31.09.2011.002507 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2011.374 | Mã HT: H31.09.2011.002684 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2011.374 | Mã HT: H31.09.2011.005663 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2011.374 | Mã HT: H31.09.2011.008642 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38)",""
95,"H31.05.02.H31.09.2011.375",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2011.375","H31.09.2011.002230","Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59)",2011,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2230/index.aspx?am=0,1,2&rf=639253255178193398","[HS 1] Ký hiệu: H31.05.02.H31.09.2011.375 | Mã HT: H31.09.2011.002230 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2011.375 | Mã HT: H31.09.2011.002331 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2011.375 | Mã HT: H31.09.2011.002508 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2011.375 | Mã HT: H31.09.2011.002685 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2011.375 | Mã HT: H31.09.2011.005664 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2011.375 | Mã HT: H31.09.2011.008643 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59)",""
96,"H31.05.02.H31.09.2011.376",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2011.376","H31.09.2011.002231","Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011",2011,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2231/index.aspx?am=0,1,2&rf=639253255186161995","[HS 1] Ký hiệu: H31.05.02.H31.09.2011.376 | Mã HT: H31.09.2011.002231 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2011.376 | Mã HT: H31.09.2011.002332 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2011.376 | Mã HT: H31.09.2011.002509 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 4] Ký hiệu: H31.05.02.H31.09.2011.376 | Mã HT: H31.09.2011.002686 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 5] Ký hiệu: H31.05.02.H31.09.2011.376 | Mã HT: H31.09.2011.005665 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 6] Ký hiệu: H31.05.02.H31.09.2011.376 | Mã HT: H31.09.2011.008644 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011",""
97,"H31.05.02.H31.09.2011.377",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2011.377","H31.09.2011.002232","Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011",2011,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2232/index.aspx?am=0,1,2&rf=639253255193661731","[HS 1] Ký hiệu: H31.05.02.H31.09.2011.377 | Mã HT: H31.09.2011.002232 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 2] Ký hiệu: H31.05.02.H31.09.2011.377 | Mã HT: H31.09.2011.002333 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 3] Ký hiệu: H31.05.02.H31.09.2011.377 | Mã HT: H31.09.2011.002510 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 4] Ký hiệu: H31.05.02.H31.09.2011.377 | Mã HT: H31.09.2011.002687 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 5] Ký hiệu: H31.05.02.H31.09.2011.377 | Mã HT: H31.09.2011.005666 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011 ; [HS 6] Ký hiệu: H31.05.02.H31.09.2011.377 | Mã HT: H31.09.2011.008645 | Năm: 2011 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011",""
98,"H31.05.02.H31.09.2012.378",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.378","H31.09.2012.002233","Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2233/index.aspx?am=0,1,2&rf=639253255201630609","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.378 | Mã HT: H31.09.2012.002233 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.378 | Mã HT: H31.09.2012.002334 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.378 | Mã HT: H31.09.2012.002511 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.378 | Mã HT: H31.09.2012.002688 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.378 | Mã HT: H31.09.2012.005667 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2012.378 | Mã HT: H31.09.2012.008646 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105)",""
99,"H31.05.02.H31.09.2012.379",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.379","H31.09.2012.002234","Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2234/index.aspx?am=0,1,2&rf=639253255209131232","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.379 | Mã HT: H31.09.2012.002234 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.379 | Mã HT: H31.09.2012.002335 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.379 | Mã HT: H31.09.2012.002512 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.379 | Mã HT: H31.09.2012.002689 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.379 | Mã HT: H31.09.2012.005668 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2012.379 | Mã HT: H31.09.2012.008647 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58)",""
100,"H31.05.02.H31.09.2012.380",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.380","H31.09.2012.002235","Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2235/index.aspx?am=0,1,2&rf=639253255216787146","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.380 | Mã HT: H31.09.2012.002235 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.380 | Mã HT: H31.09.2012.002336 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.380 | Mã HT: H31.09.2012.002513 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.380 | Mã HT: H31.09.2012.002690 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.380 | Mã HT: H31.09.2012.005669 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2012.380 | Mã HT: H31.09.2012.008648 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104)",""
101,"H31.05.02.H31.09.2012.381",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.381","H31.09.2012.002236","Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2236/index.aspx?am=0,1,2&rf=639253255224131784","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.381 | Mã HT: H31.09.2012.002236 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.381 | Mã HT: H31.09.2012.002337 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.381 | Mã HT: H31.09.2012.002514 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.381 | Mã HT: H31.09.2012.002691 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.381 | Mã HT: H31.09.2012.005670 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2012.381 | Mã HT: H31.09.2012.008649 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây Dựng tỉnh Hưng Yên năm 2012 (từ số 01-62)",""
102,"H31.05.02.H31.09.2012.382",ĐÃ TỒN TẠI (5 HS),5,"CÙNG TIÊU ĐỀ","Có 5 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.382","H31.09.2012.002338","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 63 - 106)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2338/index.aspx?am=0,1,2&rf=639253255231787906","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.382 | Mã HT: H31.09.2012.002338 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 63 - 106) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.382 | Mã HT: H31.09.2012.002515 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 63 - 106) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.382 | Mã HT: H31.09.2012.002692 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 63 - 106) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.382 | Mã HT: H31.09.2012.005671 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 63 - 106) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.382 | Mã HT: H31.09.2012.008650 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 63 - 106)",""
103,"H31.05.02.H31.09.2012.383",ĐÃ TỒN TẠI (5 HS),5,"CÙNG TIÊU ĐỀ","Có 5 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.383","H31.09.2012.002339","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 107 - 146)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2339/index.aspx?am=0,1,2&rf=639253255239288360","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.383 | Mã HT: H31.09.2012.002339 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 107 - 146) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.383 | Mã HT: H31.09.2012.002516 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 107 - 146) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.383 | Mã HT: H31.09.2012.002693 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 107 - 146) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.383 | Mã HT: H31.09.2012.005672 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 107 - 146) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.383 | Mã HT: H31.09.2012.008651 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 107 - 146)",""
104,"H31.05.02.H31.09.2012.384",ĐÃ TỒN TẠI (5 HS),5,"CÙNG TIÊU ĐỀ","Có 5 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.384","H31.09.2012.002340","Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012
(từ số 01 - 108)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2340/index.aspx?am=0,1,2&rf=639253255246631532","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.384 | Mã HT: H31.09.2012.002340 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012
(từ số 01 - 108) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.384 | Mã HT: H31.09.2012.002517 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012
(từ số 01 - 108) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.384 | Mã HT: H31.09.2012.002694 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012
(từ số 01 - 108) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.384 | Mã HT: H31.09.2012.005673 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012
(từ số 01 - 108) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.384 | Mã HT: H31.09.2012.008652 | Năm: 2012 (THBQ: 1) | Tiêu đề: Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012
(từ số 01 - 108)",""
105,"H31.05.02.H31.09.2012.385",ĐÃ TỒN TẠI (5 HS),5,"CÙNG TIÊU ĐỀ","Có 5 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2012.385","H31.09.2012.002341","Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 109 - 184)",2012,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2341/index.aspx?am=0,1,2&rf=639253255253975389","[HS 1] Ký hiệu: H31.05.02.H31.09.2012.385 | Mã HT: H31.09.2012.002341 | Năm: 2012 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 109 - 184) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2012.385 | Mã HT: H31.09.2012.002518 | Năm: 2012 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 109 - 184) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2012.385 | Mã HT: H31.09.2012.002695 | Năm: 2012 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 109 - 184) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2012.385 | Mã HT: H31.09.2012.005674 | Năm: 2012 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 109 - 184) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2012.385 | Mã HT: H31.09.2012.008653 | Năm: 2012 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 109 - 184)",""
